sec,nsec,x,y,z,roll,pitch,yaw
15,713360542,1928.409,89.524,1451.164,0.987,353.292,161.175
15,914926594,1928.541,89.559,1450.783,0.588,353.095,160.511
16,123924466,1928.700,89.619,1450.380,0.620,354.405,159.686
16,226154892,1928.782,89.648,1450.185,0.587,355.021,159.166
16,326606902,1928.857,89.669,1450.004,0.329,355.517,158.524
16,523980860,1929.015,89.716,1449.641,0.141,354.160,157.431
16,626505931,1929.101,89.744,1449.456,0.082,353.255,156.961
16,825696170,1929.276,89.790,1449.094,359.980,349.549,155.983
17,21758109,1929.460,89.853,1448.745,0.925,348.601,155.096
17,125069873,1929.557,89.888,1448.576,1.827,348.014,155.032
17,226038898,1929.645,89.929,1448.406,1.698,346.850,154.804
17,421996879,1929.791,90.008,1448.050,359.230,345.346,154.007
17,524684498,1929.891,90.048,1447.881,0.762,345.763,153.828
17,729830171,1930.104,90.105,1447.536,3.941,349.347,153.784
17,830899737,1930.210,90.138,1447.349,5.822,352.429,153.513
18,31385396,1930.404,90.174,1446.980,5.389,356.657,152.459
18,226622277,1930.629,90.207,1446.630,7.436,359.650,152.356
18,331427870,1930.738,90.211,1446.447,7.684,0.931,152.287
18,431525368,1930.837,90.203,1446.267,7.620,0.553,151.930
18,530178012,1930.941,90.195,1446.075,7.330,359.784,151.474
18,734361355,1931.152,90.204,1445.708,6.852,1.636,151.500
18,934335377,1931.344,90.192,1445.311,4.271,1.424,150.781
19,34868220,1931.437,90.188,1445.132,3.803,1.408,150.758
19,234434904,1931.638,90.183,1444.756,2.975,359.596,150.385
19,430988092,1931.839,90.170,1444.391,2.012,356.700,149.741
19,535091071,1931.944,90.191,1444.221,2.368,355.555,149.780
19,634583663,1932.050,90.214,1444.043,1.931,353.760,149.797
19,831386222,1932.242,90.242,1443.716,1.748,350.676,150.059
19,934260566,1932.352,90.263,1443.550,2.370,350.726,150.077
20,130639612,1932.574,90.311,1443.196,3.359,351.918,149.569
20,235587520,1932.676,90.336,1443.016,3.189,353.355,149.001
20,431091654,1932.887,90.385,1442.673,3.223,354.062,148.706
20,547083067,1933.025,90.405,1442.488,4.717,354.234,148.902
20,740918081,1933.265,90.431,1442.135,5.634,357.285,148.581
20,846884365,1933.387,90.438,1441.949,5.786,359.667,148.190
21,40323569,1933.630,90.425,1441.629,8.201,3.767,148.257
21,141184130,1933.759,90.414,1441.467,9.612,4.410,148.408
21,340137575,1934.020,90.384,1441.085,9.592,4.001,148.132
21,444186294,1934.142,90.375,1440.898,9.819,2.820,148.184
21,639881707,1934.361,90.354,1440.564,10.237,0.116,148.372
21,744130200,1934.474,90.357,1440.376,9.827,358.855,148.563
21,940708696,1934.693,90.365,1439.999,9.067,357.906,149.320
22,42970759,1934.798,90.363,1439.817,8.858,357.389,149.696
22,240669206,1935.003,90.369,1439.452,8.060,357.040,150.046
22,437650965,1935.212,90.402,1439.092,7.602,357.091,150.231
22,538022998,1935.317,90.417,1438.917,7.587,356.826,150.178
22,638391830,1935.423,90.434,1438.730,7.221,356.787,150.305
22,738708008,1935.520,90.449,1438.560,7.003,356.615,150.254
22,842784666,1935.621,90.466,1438.384,6.878,356.044,149.894
22,945791450,1935.724,90.482,1438.212,6.594,356.010,149.661
23,145063900,1935.940,90.507,1437.865,6.561,354.793,149.238
23,243730949,1936.041,90.517,1437.692,5.972,353.846,149.291
23,445262762,1936.245,90.556,1437.352,5.083,352.534,149.147
23,639865185,1936.464,90.605,1437.017,5.452,352.161,149.464
23,744292093,1936.566,90.640,1436.843,4.933,351.348,149.591
23,844234887,1936.664,90.673,1436.670,4.392,351.082,149.300
24,43813650,1936.874,90.703,1436.316,3.225,353.021,148.890
24,238683954,1937.105,90.724,1435.954,3.191,355.226,149.160
24,343787930,1937.211,90.738,1435.778,2.793,355.678,149.207
24,442717899,1937.323,90.757,1435.593,2.631,356.016,149.570
24,542758479,1937.425,90.781,1435.418,2.153,356.201,149.863
24,644087265,1937.529,90.802,1435.240,2.295,355.802,149.921
24,838425627,1937.735,90.833,1434.908,3.589,355.704,150.239
25,40830896,1937.951,90.858,1434.561,5.196,356.518,150.848
25,240807298,1938.178,90.857,1434.172,6.809,356.378,151.855
25,437365853,1938.378,90.873,1433.820,7.849,355.774,153.042
25,540429958,1938.482,90.882,1433.626,8.255,355.261,153.576
25,641471409,1938.574,90.892,1433.444,8.306,355.001,154.023
25,841963793,1938.744,90.930,1433.076,7.979,354.061,154.887
25,943634941,1938.824,90.965,1432.894,7.512,353.855,155.355
26,140217222,1938.980,91.011,1432.528,6.769,354.197,156.597
26,245601119,1939.060,91.025,1432.321,6.162,353.963,157.151
26,441211679,1939.192,91.066,1431.943,4.460,353.391,158.212
26,544526042,1939.264,91.085,1431.757,4.334,353.602,158.620
26,744903509,1939.418,91.119,1431.370,4.393,353.248,159.082
26,845670876,1939.484,91.146,1431.184,3.876,352.983,159.401
27,42305383,1939.622,91.212,1430.799,3.540,352.874,159.770
27,144270019,1939.701,91.240,1430.595,4.284,352.211,160.169
27,341896792,1939.828,91.289,1430.218,4.070,352.287,161.146
27,443731520,1939.895,91.323,1430.015,4.256,352.162,161.855
27,640085693,1940.023,91.379,1429.659,5.683,350.677,162.499
27,743743043,1940.086,91.412,1429.478,6.098,349.493,162.328
27,941198225,1940.197,91.468,1429.102,5.920,349.322,163.078
28,45270471,1940.260,91.500,1428.909,6.609,349.302,163.577
28,240516831,1940.378,91.573,1428.537,7.466,350.083,164.442
28,345372906,1940.430,91.599,1428.336,7.343,352.135,165.246
28,539818562,1940.523,91.620,1427.944,7.362,354.997,167.143
28,641929820,1940.581,91.641,1427.734,9.254,355.367,168.858
28,838683733,1940.672,91.708,1427.354,11.294,356.591,170.856
28,943799652,1940.698,91.726,1427.154,11.266,357.414,172.036
29,143916411,1940.732,91.734,1426.762,11.609,355.306,174.502
29,243947125,1940.746,91.778,1426.574,12.119,353.866,175.251
29,442732917,1940.778,91.861,1426.209,13.556,350.876,176.254
29,637753574,1940.751,91.888,1425.831,10.926,345.894,176.326
29,741249461,1940.743,91.922,1425.645,9.918,343.484,176.755
29,844401795,1940.749,91.967,1425.459,9.797,342.920,177.599
30,46954403,1940.769,92.089,1425.111,11.258,339.115,177.717
30,145835465,1940.771,92.146,1424.949,11.267,336.810,177.973
30,343464414,1940.772,92.255,1424.577,10.602,338.866,179.528
30,443493780,1940.767,92.308,1424.388,10.069,340.410,180.774
30,643357283,1940.712,92.397,1424.001,5.945,345.366,182.934
30,839094958,1940.626,92.453,1423.601,359.165,354.494,183.779
30,942337954,1940.578,92.461,1423.390,356.969,359.174,184.562
31,42769524,1940.540,92.480,1423.188,355.764,0.921,185.015
31,240882569,1940.486,92.511,1422.814,356.033,357.683,185.623
31,439466857,1940.446,92.531,1422.449,357.088,352.319,186.161
31,542828404,1940.426,92.554,1422.260,356.480,350.472,186.354
31,737587205,1940.358,92.669,1421.902,356.330,346.549,187.354
