sec,nsec,x,y,z,roll,pitch,yaw
61,426490003,1977.110,110.484,1395.847,9.138,27.261,108.620
61,536427518,1977.499,110.271,1395.711,10.764,23.898,109.453
61,648918266,1977.897,110.074,1395.568,12.022,21.445,110.761
61,764670179,1978.325,109.888,1395.406,13.979,20.589,112.461
61,900397623,1978.826,109.696,1395.210,15.243,21.111,114.506
62,45574877,1979.332,109.486,1394.963,16.418,21.674,116.933
62,272230748,1980.129,109.156,1394.569,20.701,21.284,120.500
62,377535015,1980.488,109.005,1394.360,23.854,20.039,124.077
62,487337430,1980.820,108.891,1394.128,26.355,17.027,127.221
62,588594459,1981.103,108.808,1393.892,27.476,14.434,129.365
62,728361195,1981.456,108.666,1393.545,28.066,11.847,132.148
62,838832791,1981.741,108.573,1393.293,29.703,12.558,135.374
62,991390318,1982.103,108.438,1392.956,31.566,15.446,140.745
63,136624966,1982.440,108.314,1392.627,34.571,19.164,147.276
63,284196658,1982.753,108.142,1392.246,38.695,23.161,153.729
63,384072789,1982.937,107.995,1391.959,41.444,24.337,157.778
63,491775827,1983.112,107.833,1391.641,44.107,23.936,160.872
63,602224098,1983.285,107.700,1391.334,43.508,20.761,159.121
63,711818767,1983.473,107.611,1391.063,36.693,13.579,153.404
63,821961379,1983.692,107.526,1390.833,30.658,3.969,146.869
63,972036322,1983.950,107.408,1390.490,31.084,357.207,144.516
64,91884703,1984.131,107.368,1390.227,30.193,356.687,144.314
64,204715162,1984.290,107.364,1390.013,26.479,359.267,145.186
64,305413363,1984.425,107.351,1389.850,26.017,1.829,146.763
64,420855182,1984.565,107.354,1389.659,24.746,3.839,148.304
64,528532802,1984.699,107.357,1389.486,24.874,5.122,148.891
64,669725950,1984.882,107.333,1389.271,27.238,5.675,149.688
64,813115974,1985.046,107.272,1389.029,27.278,9.062,150.361
64,927734287,1985.172,107.183,1388.815,27.713,13.836,151.823
65,33767838,1985.280,107.083,1388.598,26.995,19.332,153.569
65,176675237,1985.448,106.937,1388.301,26.587,25.022,154.740
65,295756910,1985.608,106.782,1388.054,25.294,28.424,153.471
65,413017026,1985.788,106.613,1387.828,24.093,29.681,150.056
65,528123547,1985.989,106.448,1387.641,22.710,28.090,145.629
65,636144852,1986.190,106.290,1387.460,20.726,27.570,141.665
65,788218807,1986.494,106.058,1387.183,18.850,29.481,137.903
65,952963322,1986.864,105.785,1386.896,17.984,31.734,132.932
66,75431948,1987.192,105.568,1386.716,17.094,32.451,128.626
66,233730704,1987.624,105.305,1386.528,12.129,30.361,121.730
66,360011150,1987.987,105.110,1386.407,7.666,25.861,114.878
66,465697030,1988.294,104.957,1386.327,3.447,20.198,109.599
66,568815175,1988.627,104.844,1386.272,1.528,15.779,105.350
66,678778020,1988.976,104.732,1386.213,359.660,12.235,101.316
66,783453420,1989.307,104.634,1386.179,359.870,9.859,98.054
66,909806329,1989.707,104.541,1386.162,359.818,10.139,95.175
67,11783578,1990.006,104.513,1386.147,357.444,9.166,92.296
67,130723297,1990.313,104.519,1386.172,356.828,6.572,89.908
67,250947758,1990.585,104.503,1386.209,356.772,3.332,87.993
67,371244053,1990.822,104.491,1386.256,358.111,0.470,86.865
67,479926385,1991.043,104.505,1386.293,358.181,357.338,86.135
67,588902610,1991.269,104.493,1386.300,356.735,357.852,85.317
67,707294683,1991.497,104.457,1386.310,355.905,359.500,84.401
67,849687223,1991.782,104.437,1386.337,358.495,0.653,84.109
67,953921289,1992.001,104.461,1386.362,1.456,0.204,84.140
68,93809761,1992.285,104.493,1386.376,1.945,2.231,84.302
68,196945362,1992.510,104.473,1386.361,358.067,3.919,83.176
68,328473309,1992.793,104.401,1386.375,356.791,8.518,82.990
68,437389473,1993.007,104.364,1386.400,357.365,10.698,83.573
68,546700636,1993.222,104.353,1386.439,359.404,11.097,84.228
68,686096337,1993.493,104.361,1386.467,0.905,10.711,85.157
68,802956081,1993.720,104.343,1386.464,0.615,6.682,86.208
68,921384406,1993.940,104.317,1386.455,359.906,0.861,87.424
69,36683219,1994.175,104.260,1386.438,359.127,357.811,88.839
69,159868298,1994.431,104.213,1386.428,359.071,357.163,90.462
69,264890034,1994.636,104.189,1386.412,358.928,356.790,91.908
69,390840608,1994.878,104.204,1386.396,2.152,358.334,93.282
69,513390769,1995.125,104.243,1386.371,4.430,1.182,95.121
69,693890314,1995.479,104.270,1386.321,6.290,2.984,99.599
69,815606392,1995.703,104.258,1386.238,4.152,3.445,101.302
69,929290908,1995.892,104.260,1386.156,2.619,2.844,102.285
70,29631556,1996.076,104.286,1386.095,1.574,0.826,104.067
70,195394265,1996.380,104.322,1385.996,3.343,0.279,107.216
70,296484169,1996.545,104.348,1385.933,4.811,358.594,109.252
70,414321528,1996.733,104.362,1385.841,5.264,353.926,110.638
70,537700356,1996.953,104.366,1385.757,4.248,352.730,110.500
70,664334830,1997.193,104.387,1385.676,5.332,354.496,112.591
70,779588520,1997.411,104.404,1385.592,5.871,355.103,115.210
70,912436170,1997.624,104.440,1385.449,3.167,355.051,117.461
71,15085224,1997.763,104.447,1385.336,1.394,354.252,119.505
71,133719000,1997.930,104.433,1385.192,0.490,351.291,122.033
71,245592901,1998.080,104.453,1385.059,359.845,348.691,124.321
71,349164984,1998.213,104.522,1384.931,358.611,347.600,126.355
71,459592046,1998.345,104.597,1384.800,358.253,345.300,128.961
71,566686749,1998.491,104.635,1384.663,358.560,342.585,131.402
71,667520924,1998.630,104.640,1384.537,358.809,340.862,133.762
71,795549929,1998.829,104.633,1384.372,1.298,342.271,135.213
71,912196133,1999.005,104.639,1384.214,3.345,345.580,136.224
72,14002220,1999.143,104.667,1384.074,4.287,346.643,137.652
72,116117371,1999.264,104.723,1383.925,4.321,347.049,139.600
72,234565368,1999.396,104.781,1383.769,7.126,342.586,141.935
72,372132338,1999.539,104.867,1383.574,9.328,338.224,143.906
72,474359531,1999.628,104.934,1383.412,8.773,337.392,145.135
72,577789980,1999.708,104.991,1383.238,7.343,337.978,146.604
72,693524153,1999.791,105.042,1383.046,5.711,337.667,148.207
72,808673368,1999.874,105.093,1382.854,4.695,337.328,149.875
72,910120225,1999.938,105.167,1382.681,4.143,337.140,151.135
73,15704738,1999.994,105.246,1382.513,3.566,336.810,152.126
73,166798363,2000.071,105.360,1382.276,2.697,335.707,153.253
73,270349798,2000.125,105.432,1382.102,2.162,335.156,154.447
73,471822260,2000.216,105.488,1381.732,356.722,333.948,156.601
73,587476126,2000.259,105.528,1381.505,353.284,334.191,158.015
73,693295962,2000.308,105.595,1381.316,351.617,334.827,159.397
73,825774388,2000.376,105.682,1381.090,350.527,334.838,160.316
73,936467597,2000.444,105.760,1380.905,350.466,334.939,160.672
74,38577498,2000.506,105.829,1380.719,349.766,335.240,160.893
74,142289662,2000.559,105.900,1380.536,348.870,336.611,160.883
74,255092159,2000.611,105.980,1380.339,347.755,338.324,161.343
74,366413175,2000.662,106.041,1380.133,346.552,340.710,161.283
74,470501773,2000.707,106.096,1379.947,345.495,342.546,161.374
74,570320376,2000.745,106.158,1379.771,344.872,342.880,161.197
74,683343858,2000.791,106.241,1379.564,344.611,342.612,161.057
74,811510926,2000.840,106.336,1379.341,343.751,341.628,161.579
74,920623203,2000.881,106.388,1379.161,342.191,339.374,162.354
75,72022551,2000.942,106.444,1378.897,338.739,334.708,164.549
75,174117907,2000.980,106.511,1378.725,337.943,333.052,165.451
75,307840263,2001.040,106.604,1378.492,337.179,332.116,166.364
75,424907512,2001.095,106.682,1378.286,336.670,331.066,167.409
75,553800243,2001.152,106.786,1378.069,337.083,330.082,168.099
75,661655778,2001.185,106.887,1377.896,337.656,329.679,167.206
75,815944714,2001.210,107.034,1377.649,336.369,328.365,168.318
75,918528963,2001.236,107.120,1377.482,336.132,327.700,168.641
76,108223152,2001.301,107.284,1377.170,337.606,328.395,167.087
76,215117171,2001.349,107.380,1376.990,339.332,330.014,165.930
76,315451603,2001.398,107.469,1376.821,340.901,331.778,164.780
76,435284939,2001.461,107.573,1376.621,342.848,333.157,163.775
76,562166502,2001.531,107.675,1376.409,344.597,334.154,163.251
76,695121292,2001.600,107.786,1376.172,345.526,334.866,162.621
76,813828871,2001.664,107.883,1375.964,346.548,335.413,162.200
76,920190329,2001.730,107.968,1375.784,347.869,335.173,162.212
77,33325776,2001.792,108.059,1375.592,348.512,335.004,162.771
77,142034183,2001.843,108.144,1375.399,348.470,335.392,162.594
77,266824498,2001.901,108.243,1375.177,348.495,335.049,162.696
77,409070578,2001.971,108.351,1374.930,348.675,334.103,163.284
77,515473048,2002.021,108.436,1374.752,348.855,333.902,163.779
77,669264792,2002.083,108.568,1374.490,348.374,333.525,164.022
77,788586217,2002.130,108.660,1374.292,347.751,332.532,164.266
77,914548682,2002.181,108.768,1374.085,347.544,331.352,164.787
78,48451459,2002.242,108.890,1373.871,348.042,331.041,165.044
78,170379173,2002.303,109.000,1373.667,348.894,331.350,164.973
78,284448820,2002.352,109.094,1373.472,348.292,330.955,165.450
78,388276807,2002.390,109.185,1373.301,347.987,330.761,165.343
78,502010383,2002.437,109.290,1373.113,348.145,331.335,165.108
78,620326464,2002.490,109.399,1372.920,348.122,331.624,165.495
78,725682090,2002.537,109.492,1372.746,348.261,330.956,166.048
78,836520650,2002.576,109.597,1372.567,347.794,330.217,166.741
78,953304637,2002.606,109.712,1372.391,347.365,329.322,167.153
79,83175286,2002.646,109.838,1372.185,347.306,328.373,167.157
79,265422078,2002.724,110.011,1371.883,348.287,327.745,168.008
79,372636135,2002.764,110.114,1371.717,348.647,326.838,168.388
79,534350972,2002.808,110.279,1371.467,348.446,325.707,168.969
79,642373838,2002.842,110.383,1371.291,348.636,324.573,169.449
79,820802392,2002.903,110.561,1371.003,349.298,322.284,170.090
79,938911779,2002.943,110.688,1370.820,350.090,321.156,170.071
80,70758386,2002.982,110.837,1370.626,350.527,320.574,169.721
80,185952306,2003.016,110.963,1370.454,350.737,320.773,169.582
80,325123142,2003.057,111.119,1370.244,350.672,321.117,169.549
80,430663909,2003.086,111.241,1370.087,350.742,321.107,169.288
80,565915717,2003.113,111.411,1369.887,350.182,320.621,169.192
80,678272837,2003.135,111.544,1369.732,349.949,319.980,168.722
80,848522670,2003.193,111.738,1369.489,351.315,319.595,167.023
80,960737782,2003.242,111.859,1369.327,352.368,320.671,166.193
81,95409863,2003.303,112.004,1369.136,353.893,321.806,165.112
81,222525021,2003.371,112.141,1368.943,355.794,323.157,164.182
81,352163677,2003.444,112.272,1368.740,357.608,325.579,162.913
81,461411389,2003.516,112.377,1368.576,359.803,327.175,161.816
81,583344877,2003.607,112.484,1368.383,1.917,328.498,161.712
81,690759354,2003.683,112.587,1368.209,3.329,329.587,160.945
81,833122399,2003.783,112.713,1367.987,4.960,330.654,160.228
81,948576802,2003.870,112.809,1367.802,6.133,331.086,159.595
82,55680199,2003.955,112.904,1367.628,6.866,331.460,159.574
82,195895806,2004.054,113.025,1367.416,7.624,332.209,158.814
82,318775245,2004.145,113.124,1367.214,7.945,333.804,158.618
82,488276123,2004.259,113.248,1366.925,7.078,336.055,158.537
82,601725532,2004.335,113.333,1366.728,6.619,338.267,158.698
82,761528047,2004.451,113.452,1366.461,7.047,341.211,159.112
82,870199029,2004.527,113.539,1366.287,7.100,341.901,159.170
82,992088575,2004.617,113.625,1366.079,7.357,342.249,159.145
83,116017210,2004.707,113.688,1365.855,7.277,344.253,159.176
83,284914114,2004.839,113.734,1365.542,7.643,348.804,159.119
83,386945896,2004.935,113.757,1365.358,8.629,351.021,158.895
83,560949022,2005.103,113.802,1365.047,9.804,353.350,157.655
83,676298545,2005.216,113.840,1364.831,9.585,352.896,156.316
83,800394630,2005.328,113.878,1364.618,9.321,351.265,155.145
83,921393014,2005.453,113.902,1364.412,10.471,349.955,153.862
84,51486123,2005.590,113.926,1364.192,11.637,348.600,152.635
84,173202055,2005.719,113.963,1363.991,12.194,347.657,151.383
84,358674108,2005.916,114.053,1363.693,12.583,347.097,149.817
84,475065209,2006.036,114.095,1363.500,12.726,346.751,149.469
84,629660776,2006.194,114.155,1363.242,12.814,345.820,148.786
84,742813690,2006.315,114.201,1363.047,12.760,345.232,148.579
84,885182179,2006.457,114.285,1362.810,11.490,345.494,149.143
84,999847187,2006.578,114.340,1362.614,11.255,344.742,149.172
85,126043521,2006.709,114.408,1362.419,11.770,343.826,149.225
85,225788562,2006.817,114.463,1362.254,11.772,343.511,149.380
85,336740263,2006.923,114.517,1362.060,10.610,344.388,149.872
85,458141180,2007.030,114.574,1361.855,9.166,345.467,150.274
85,588229489,2007.158,114.632,1361.615,7.993,345.701,150.497
85,717041420,2007.276,114.691,1361.403,6.950,346.154,151.547
85,874487176,2007.422,114.761,1361.125,5.489,346.194,152.470
85,984397078,2007.523,114.808,1360.930,4.910,346.739,152.899
86,90660239,2007.623,114.850,1360.734,4.496,347.705,153.433
86,215765282,2007.732,114.896,1360.512,3.993,349.367,153.815
86,331342491,2007.839,114.939,1360.293,3.596,349.969,154.201
86,471855982,2007.957,114.992,1360.047,3.205,350.822,154.536
86,583917762,2008.057,115.028,1359.851,3.459,351.972,155.046
86,697148734,2008.168,115.055,1359.640,4.007,352.633,155.298
86,805629616,2008.267,115.079,1359.449,4.683,353.521,155.540
86,910115169,2008.357,115.103,1359.262,4.865,354.586,155.644
87,32749748,2008.453,115.138,1359.028,3.922,355.511,155.465
87,146317875,2008.545,115.165,1358.822,3.586,355.571,155.355
87,262910669,2008.651,115.172,1358.607,4.146,355.826,155.663
87,364687853,2008.744,115.179,1358.425,4.793,356.621,155.659
87,483215452,2008.848,115.201,1358.213,5.243,356.200,155.006
87,592477378,2008.934,115.223,1358.018,4.649,355.473,154.748
87,732635420,2009.044,115.262,1357.764,4.131,354.619,155.497
87,851667949,2009.140,115.290,1357.543,4.372,353.606,156.351
88,16647407,2009.270,115.311,1357.256,5.421,352.495,156.969
88,115841962,2009.354,115.324,1357.082,5.572,351.197,156.713
88,295743582,2009.494,115.374,1356.765,5.223,349.412,157.122
88,428602558,2009.589,115.413,1356.520,4.472,348.398,157.671
88,554135187,2009.680,115.456,1356.293,4.484,348.676,158.135
88,660451083,2009.759,115.497,1356.094,4.600,349.482,158.551
88,776766618,2009.840,115.536,1355.878,5.052,350.029,158.776
88,892778924,2009.919,115.577,1355.660,5.146,350.923,158.798
88,994974343,2009.989,115.611,1355.458,4.869,352.134,158.678
89,106696380,2010.074,115.636,1355.249,5.375,353.402,158.596
89,209222864,2010.166,115.655,1355.046,6.317,353.876,158.626
89,318312479,2010.263,115.678,1354.831,6.786,354.690,158.666
89,432728236,2010.350,115.712,1354.628,6.703,355.567,158.624
89,594929723,2010.475,115.758,1354.329,6.050,355.235,158.322
89,699398321,2010.553,115.787,1354.139,5.599,353.868,157.833
89,812875717,2010.630,115.818,1353.943,4.786,352.081,157.498
89,915153700,2010.704,115.859,1353.764,4.221,350.781,157.300
90,34907441,2010.795,115.896,1353.532,2.963,347.722,156.979
90,180319992,2010.889,115.945,1353.279,1.839,343.711,157.452
90,294997251,2010.971,115.984,1353.077,1.423,341.890,157.565
90,412202179,2011.053,116.024,1352.852,0.081,340.951,157.830
90,536697186,2011.129,116.078,1352.620,358.622,341.062,158.404
90,680980563,2011.216,116.152,1352.355,357.104,342.669,158.786
90,784844481,2011.276,116.200,1352.160,355.929,344.431,159.416
90,944142078,2011.366,116.263,1351.838,354.047,347.129,160.413
91,56989644,2011.417,116.307,1351.616,352.318,347.902,160.740
91,220151286,2011.494,116.382,1351.302,350.746,348.241,161.134
91,333158134,2011.553,116.424,1351.079,350.004,347.948,161.556
91,476118337,2011.624,116.466,1350.801,349.042,346.925,162.596
91,577607160,2011.666,116.499,1350.611,348.210,346.796,162.942
91,678946866,2011.710,116.542,1350.410,347.681,346.660,163.553
91,795127634,2011.757,116.596,1350.191,347.219,345.539,164.140
91,908369522,2011.801,116.649,1349.982,346.842,344.165,164.930
92,45397447,2011.852,116.715,1349.735,346.490,342.427,165.852
92,155661086,2011.892,116.778,1349.521,346.015,341.429,166.408
92,275917284,2011.932,116.842,1349.302,345.597,341.071,166.861
92,377746844,2011.969,116.906,1349.104,345.329,340.542,167.106
92,522171826,2012.021,116.995,1348.833,345.190,340.857,167.015
92,628251955,2012.064,117.061,1348.630,344.985,340.378,167.125
92,737864171,2012.104,117.118,1348.436,344.546,340.044,167.447
92,847887645,2012.143,117.181,1348.231,344.282,340.012,167.169
92,970016723,2012.192,117.260,1348.002,344.414,340.587,166.886
93,72748296,2012.237,117.323,1347.808,344.585,341.293,166.255
93,175232368,2012.283,117.386,1347.617,344.798,341.486,165.479
93,321644689,2012.355,117.487,1347.349,345.700,342.480,163.522
93,432211637,2012.421,117.561,1347.146,346.344,342.823,161.908
93,551497706,2012.506,117.639,1346.940,347.257,343.059,160.111
93,676165335,2012.605,117.717,1346.730,348.082,342.726,158.389
93,806029698,2012.722,117.804,1346.518,349.134,341.680,156.213
93,906942402,2012.816,117.870,1346.362,349.855,341.046,154.558
94,14246991,2012.920,117.940,1346.197,350.617,340.471,152.863
94,122386590,2013.033,118.008,1346.045,351.683,339.610,150.845
94,233724389,2013.160,118.077,1345.893,352.617,338.328,149.170
94,338973884,2013.287,118.152,1345.756,354.202,337.367,147.044
94,440832426,2013.411,118.224,1345.636,355.537,336.860,145.274
94,542780372,2013.540,118.303,1345.515,357.198,336.442,143.225
94,716382244,2013.761,118.425,1345.320,359.283,335.351,139.994
94,816224789,2013.904,118.500,1345.210,0.808,334.715,138.179
94,959423729,2014.103,118.608,1345.075,3.123,334.304,135.181
95,69897706,2014.263,118.691,1344.981,5.054,333.838,133.322
95,218968657,2014.482,118.792,1344.852,7.006,332.783,130.808
95,334410927,2014.656,118.873,1344.749,8.253,332.221,129.036
95,477913187,2014.872,118.982,1344.625,9.569,331.985,127.495
95,595394219,2015.051,119.082,1344.524,10.580,332.231,126.092
95,726234021,2015.242,119.186,1344.421,11.454,332.431,124.601
95,846725430,2015.426,119.286,1344.327,12.163,332.180,123.001
95,957856217,2015.598,119.380,1344.247,12.699,331.628,121.724
96,82330190,2015.790,119.481,1344.170,13.382,331.350,119.937
96,191480423,2015.956,119.567,1344.115,13.916,331.071,118.373
96,299630244,2016.127,119.654,1344.061,14.431,330.681,116.560
96,403325361,2016.287,119.734,1344.017,14.872,330.505,115.185
96,532446608,2016.491,119.831,1343.964,15.433,330.369,113.582
96,642935837,2016.667,119.915,1343.917,15.861,329.917,112.226
96,752579256,2016.847,120.003,1343.866,16.259,329.602,110.750
96,855246515,2017.021,120.091,1343.823,16.848,329.840,109.323
96,969696954,2017.213,120.186,1343.781,17.478,330.763,108.315
97,128706013,2017.482,120.310,1343.730,18.593,332.025,106.450
97,233318471,2017.664,120.396,1343.700,19.073,332.761,105.795
97,359505771,2017.882,120.500,1343.668,19.531,333.973,104.323
97,486244701,2018.105,120.601,1343.646,20.034,335.044,102.576
97,591399242,2018.287,120.674,1343.639,20.725,335.859,101.065
97,736629864,2018.547,120.767,1343.643,21.913,336.597,99.573
97,840397281,2018.740,120.829,1343.651,22.847,337.365,98.003
97,974754957,2018.988,120.903,1343.673,23.988,338.382,95.503
98,102398958,2019.214,120.970,1343.703,24.873,339.248,93.895
98,215332251,2019.420,121.024,1343.733,25.925,339.666,92.738
98,331986972,2019.632,121.073,1343.763,27.196,340.091,91.427
98,443407970,2019.843,121.124,1343.790,28.110,340.604,90.240
98,545249993,2020.042,121.172,1343.815,28.791,341.159,89.192
98,648150709,2020.235,121.222,1343.844,29.300,342.308,87.992
98,771968408,2020.468,121.283,1343.885,29.631,343.316,86.961
98,884836380,2020.681,121.335,1343.927,29.923,344.332,85.765
98,996590098,2020.888,121.379,1343.971,30.052,345.011,84.691
99,127050036,2021.133,121.426,1344.030,30.173,346.145,83.539
99,260841692,2021.407,121.474,1344.100,30.290,348.057,81.990
99,368551226,2021.618,121.503,1344.163,30.110,349.160,81.082
99,511112527,2021.889,121.531,1344.248,29.849,350.957,79.456
99,614316612,2022.082,121.543,1344.313,29.592,351.985,78.466
99,769708286,2022.375,121.564,1344.416,29.037,353.215,77.083
99,899090427,2022.620,121.572,1344.509,28.745,354.831,75.572
100,79959586,2022.951,121.580,1344.645,28.297,355.694,73.809
100,200741501,2023.170,121.583,1344.742,27.934,356.513,72.591
100,309609149,2023.364,121.583,1344.830,27.773,357.332,71.753
100,442804891,2023.618,121.574,1344.948,27.395,358.088,70.490
100,579709135,2023.860,121.560,1345.073,27.430,359.184,69.469
100,699249977,2024.097,121.550,1345.198,27.468,359.670,68.562
100,826780303,2024.352,121.539,1345.336,27.197,0.755,68.014
100,977152415,2024.643,121.510,1345.483,26.596,1.658,67.295
101,104574939,2024.878,121.485,1345.607,26.273,2.396,66.745
101,225257068,2025.095,121.458,1345.724,26.136,2.894,66.403
101,381369585,2025.365,121.442,1345.875,25.720,2.569,66.101
101,510834541,2025.630,121.429,1346.024,25.413,1.997,65.316
101,611661134,2025.834,121.415,1346.136,25.447,1.766,65.321
101,719905112,2026.044,121.396,1346.249,25.637,1.417,65.376
101,892455773,2026.360,121.377,1346.418,26.041,0.713,65.791
102,15777576,2026.581,121.375,1346.529,26.228,359.519,66.416
102,116602761,2026.792,121.372,1346.625,26.072,358.345,66.818
102,216623784,2026.992,121.370,1346.712,26.019,357.520,67.607
102,331796443,2027.200,121.372,1346.798,25.715,356.591,68.351
102,482902804,2027.484,121.384,1346.915,25.845,356.362,69.831
102,610503184,2027.729,121.399,1347.013,26.037,356.169,71.570
102,726562125,2027.957,121.420,1347.094,25.706,356.184,73.082
102,852958004,2028.199,121.456,1347.159,24.896,354.598,74.923
102,967745535,2028.428,121.491,1347.206,24.687,352.908,76.644
103,93699222,2028.662,121.541,1347.233,24.231,350.543,79.011
103,271643443,2028.993,121.635,1347.247,22.233,347.754,82.201
103,381555520,2029.199,121.686,1347.252,21.558,346.253,83.875
103,524347203,2029.467,121.725,1347.268,21.937,345.298,85.949
103,634970112,2029.675,121.761,1347.288,22.017,345.148,87.441
103,752505148,2029.890,121.825,1347.302,21.146,344.715,87.596
103,877398434,2030.118,121.903,1347.309,19.024,344.038,88.611
104,12975289,2030.371,121.969,1347.316,19.298,342.767,90.564
104,116484945,2030.563,122.019,1347.312,19.664,342.630,91.994
104,261544713,2030.826,122.103,1347.292,20.121,343.070,94.591
104,379690959,2031.035,122.198,1347.271,18.806,343.252,96.544
104,480849360,2031.213,122.257,1347.258,19.901,342.040,97.396
104,606466005,2031.440,122.319,1347.221,21.098,339.337,98.793
104,726017903,2031.649,122.381,1347.178,21.964,336.852,99.813
104,829181193,2031.826,122.465,1347.133,21.797,335.560,101.199
104,933834673,2031.988,122.553,1347.084,21.357,334.753,102.796
105,43898465,2032.169,122.645,1347.024,21.620,333.291,104.230
105,174707282,2032.362,122.747,1346.951,21.831,331.045,105.439
105,277974167,2032.513,122.837,1346.888,21.882,328.603,106.519
105,389562244,2032.660,122.946,1346.819,21.231,326.707,107.709
105,496804048,2032.807,123.058,1346.745,20.679,324.194,109.234
105,624708561,2032.974,123.196,1346.651,19.551,321.807,111.380
105,732047284,2033.108,123.321,1346.566,18.202,320.074,113.567
105,832106139,2033.222,123.441,1346.485,16.646,318.730,115.597
105,957435577,2033.343,123.584,1346.388,14.535,317.515,117.843
106,126852879,2033.495,123.775,1346.262,12.318,315.099,121.095
106,227700578,2033.585,123.887,1346.192,11.419,313.734,122.607
106,365775952,2033.711,124.043,1346.089,9.878,312.652,124.600
106,475584577,2033.814,124.176,1345.998,8.297,312.581,126.196
106,592462099,2033.923,124.319,1345.895,6.387,313.079,128.102
106,704459284,2034.030,124.458,1345.788,4.529,313.748,129.567
106,816972773,2034.134,124.593,1345.674,2.600,314.662,131.187
106,920138890,2034.226,124.713,1345.564,0.740,315.218,132.596
107,21026060,2034.314,124.836,1345.451,358.923,315.677,134.118
107,145976314,2034.409,124.988,1345.308,356.619,316.256,136.447
107,262638603,2034.483,125.125,1345.174,354.540,316.335,138.901
107,377817063,2034.544,125.257,1345.034,351.884,315.751,142.109
107,539509947,2034.617,125.435,1344.837,348.460,314.870,145.881
107,659173186,2034.660,125.562,1344.694,346.007,314.214,148.664
107,800425573,2034.717,125.705,1344.522,343.522,313.017,151.907
107,918928264,2034.759,125.831,1344.374,341.405,312.328,154.405
108,41142451,2034.804,125.968,1344.219,339.461,311.540,156.609
108,151938439,2034.847,126.106,1344.073,338.138,311.305,158.228
108,330974547,2034.912,126.340,1343.839,336.935,312.045,160.152
108,449663953,2034.948,126.495,1343.678,335.830,313.011,161.294
108,561596940,2034.976,126.639,1343.525,334.748,313.717,162.258
108,707356614,2035.010,126.825,1343.323,333.759,314.601,163.393
108,819721989,2035.036,126.967,1343.163,333.214,315.537,164.332
108,924095692,2035.056,127.089,1343.014,332.593,316.476,165.238
109,94770405,2035.090,127.280,1342.750,331.554,317.927,165.974
109,197013595,2035.109,127.394,1342.582,330.908,319.237,166.427
109,321814291,2035.131,127.522,1342.385,330.452,320.911,166.870
109,436713044,2035.155,127.645,1342.195,330.237,322.152,167.235
109,587871818,2035.179,127.793,1341.951,329.551,323.605,167.923
109,690692272,2035.196,127.893,1341.781,329.165,324.334,168.322
109,812624673,2035.213,128.011,1341.577,328.669,325.138,169.174
109,940067711,2035.222,128.129,1341.366,328.010,325.632,169.957
110,54115568,2035.228,128.233,1341.167,327.286,326.433,170.984
110,168627833,2035.229,128.328,1340.972,326.567,327.079,172.037
110,268836794,2035.227,128.412,1340.796,325.993,327.277,173.132
110,368905406,2035.221,128.495,1340.628,325.474,327.490,174.421
110,480933819,2035.208,128.591,1340.438,324.984,327.553,175.746
110,581831082,2035.196,128.674,1340.267,324.400,327.219,177.008
110,691258248,2035.178,128.761,1340.080,323.403,326.724,178.452
110,827328405,2035.152,128.864,1339.843,321.844,326.600,180.078
110,953322328,2035.121,128.962,1339.631,320.699,326.964,181.387
111,63814924,2035.088,129.054,1339.445,319.778,327.468,182.518
111,165008191,2035.054,129.139,1339.279,319.115,327.519,183.735
111,309543759,2034.994,129.258,1339.051,317.764,326.802,186.199
111,431220418,2034.943,129.337,1338.843,316.230,326.959,187.641
111,545620805,2034.909,129.411,1338.630,316.329,329.210,187.171
111,717426706,2034.846,129.517,1338.319,315.320,332.618,185.232
111,835147706,2034.788,129.580,1338.101,313.414,335.298,183.677
111,966223904,2034.718,129.626,1337.847,309.938,338.600,180.561
112,110506653,2034.658,129.653,1337.557,307.097,342.451,175.907
112,210741398,2034.653,129.655,1337.353,307.282,345.254,172.671
112,326496854,2034.681,129.653,1337.118,308.057,349.230,169.811
112,487081101,2034.739,129.654,1336.798,308.717,352.143,166.066
112,602872582,2034.787,129.661,1336.563,309.250,352.568,163.473
112,760593780,2034.870,129.671,1336.251,309.915,353.566,159.880
112,866898896,2034.944,129.687,1336.046,311.215,353.777,158.757
113,9659868,2035.047,129.712,1335.763,312.184,353.801,157.630
113,122689075,2035.126,129.728,1335.554,312.867,353.510,156.480
113,252189254,2035.237,129.746,1335.324,314.444,352.869,155.531
113,372868408,2035.345,129.774,1335.114,315.368,351.321,155.066
113,534522808,2035.478,129.820,1334.817,316.531,350.248,154.312
113,656218735,2035.583,129.846,1334.607,317.201,349.616,153.116
113,769684594,2035.688,129.880,1334.421,317.903,348.419,152.262
113,869640429,2035.790,129.910,1334.258,319.351,347.577,151.639
113,982401726,2035.907,129.953,1334.079,321.660,347.899,150.580
114,97165193,2036.042,129.991,1333.890,322.937,347.100,149.527
114,201806240,2036.159,130.032,1333.734,324.449,345.853,148.549
114,327624337,2036.308,130.090,1333.547,326.451,345.704,146.534
114,448926971,2036.464,130.145,1333.364,328.204,346.460,143.965
114,572731313,2036.615,130.203,1333.188,329.211,346.053,142.120
114,712001924,2036.789,130.299,1333.002,331.007,344.303,140.238
